userid,role,username
2qDLEBNv,supervisor,ezugasti
iia5SP5,supervisor,aalonso
IQtg13hB,doctoral student,ilecuona
5pVcV5V,supervisor,ibaraia
jb1CjU1HF,supervisor,igaritano
Vhpk5shpkk,associated teacher,jolaizolaa
OJwzAJ33l,doctoral student,uizagirre
FmxgvxmU,associated teacher,dreguera
CuAgSlJwl,associated teacher,umarkiegi
M8TX69h8,coordinator,galdekoa
93xlxT,doctoral student,ivelez
D6F0qp7s7,administrative,iretolaza
uhDooz5uD,doctoral student,ibarrutia
CCMAqXtVdM,supervisor,mmendikute
TRFKSXv,associated teacher,miturbe
gKUuuzg9,doctoral student,dgarrido
ymETMF4M4,doctoral student,jvicentet
55reHHf,supervisor,aagirre
qpzNDzybrsi,administrative,ajrodriguez
CkfZksM2rBrL,associated teacher,jmtzmendivil
13zpiFiAzJ,associated teacher,mfernandez
P5BAwzTfB,associated teacher,xvalencia
d4guBrpB,doctoral student,xesnaola
anH4HDH,supervisor,apereze
0WFqeFiPx3K,doctoral student,jbalzategui
FHZemZ,administrative,xlanda
oS7WZT0,doctoral student,melorza
0a4Qn,doctoral student,amaia.echave
Yx3rQ,doctoral student,aicarrera
OCUnH,doctoral student,aapraizi
I3RXU,doctoral student,Oescallada
fJlBu,doctoral student,arianeatxa
l564xe,associated teacher,letxeberria
Ol67u5,associated teacher,olizarralde
ws0cho3,doctoral student,wsochoa
larri45h,supervisor,flarrinaga
XIRWj,supervisor,Glasa
F96Kv,doctoral student,nhneguyen
ieuWQ,associated teacher,letxeberria@mondragon.edu
fa6SQ,associated teacher,millarramendi
